author,comment
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @two_east
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">정말 대단한게 북소리 정도는 mr로 깔아둘만 한데 끝까지 라이브 고집해서 이정도로 웅장하게 들리는 듯하다</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-kx3km5xz5u
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input=""""><span class=""style-scope yt-formatted-string"" dir=""auto"">보통 노래는 가수 목소리가 더 감미로운데</span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">이 곡은 연주도 정말 인상적이라서 밸런스가 잘맞춰져있음. 그래서 이 그룹이 대단한거 같음</span></yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-we7nv5yo7k
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input=""""><a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=HosW0gulISQ&amp;t=111s"" spellcheck=""false"">1:51</a><span class=""style-scope yt-formatted-string"" dir=""auto""> 왕관을 내려놓는  퍼포먼스 진짜 지렸다</span></yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-tp9hg5kg7y
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">진짜 함성소리 섞은거로 리믹스 멜론에 만들어줘야함</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-en5nn9pm1p
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input=""""><a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=HosW0gulISQ&amp;t=209s"" spellcheck=""false"">3:29</a><span class=""style-scope yt-formatted-string"" dir=""auto""> 관객들도 다 감동받았겠지만, 반대의 입장에서 가수가 저렇게 수많은 관객앞에서 노래부를수있고, 환호하고 같이 따라부르면 그것또한 전율이 지릴거같음....가수나 관객이나 다 부럽다... 관객입장말고, 내가 저 중앙무대에서 나의 노래에 다들 따라불러주면 어떤느낌일까...</span></yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-pg7gr8dr5l
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">진짜 가슴이 웅장해진다. 저정도 떼창을 무대에서 들을 거 생각하면 진짜 소름돋는다.</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-mw1wy5qm3b
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">가사가 중간중간 비는 부분이 많은데 이정도 분위기가 사는 곡인게 ㄹㅇ 대단하다</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-ol8xu8by5o
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">작곡도 가사도 미쳤다 정말 가슴이 웅장해진다</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @truwizla7712
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input=""""><span class=""style-scope yt-formatted-string"" dir=""auto"">나중에 꼭 콜드플레이의 영화가 나왔으면 좋겠다.</span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">마지막 장면을 viva la vida를 이런식으로 연출하는거지..캬...생각만해도...그때까지 꼭 살아야겠다 ㄹㅇ</span></yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @witymeo3684
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input=""""><span class=""style-scope yt-formatted-string"" dir=""auto"">omg...엄청난 무대다</span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">웅장하고 순수함의 거대한 에너지가 느껴진다</span></yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @on_the_
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">같은 주파수를 들을 수 있는 지구인이라면 전율이 돋을 수밖에 없는 무대다 진짜</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-nk7pj5he1s
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">대단해!!40대에 저런 열정과 에너지가 넘치는 멋진 콜드플레이!!</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @SeoCheonNS
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">사랑 관련한 노래가 아니어도 얼마든지 훌륭한 노래가 나올 수 있다는걸 알게된 대표적인 노래죠.</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @Prime750
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">도입부만 들어도 가슴이 뛰는 명곡</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @ryanchangkorea
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">단지 방구석에서 좁아터진 24인치모니터로 봐도 가슴이 터질지경인데 직관하신 분들은 창공을 날았겠군요. 개인적으로 정말 좋아라하는 뮤비중에 하나가 됐네요. 번역자님께 감사합니다.</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-hm3eq5no1z
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">웅장해진다….다시 이런공연을 보는 날이 오기를 제발~~~</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @icebear5736
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">시대가 변해도 영원한 명곡</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-tn8os5qc6y
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">개인적인 사정으로 인해 요새 우울한 기분과 바닥친 자존감때문에 힘들어하고 있었는데 이 노래를 들으면서 한결 자존감에 생기가 불어든 것 같습니다! 감사해요</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @myfrienddada8989
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">진짜 가슴까지 뻥 뚫리는 기분 너무 멋있음</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-ov4ud8xg3n
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">보통 노래들 들으면 별 감흥없이 듣는데 이건 진짜 전율이..와..사람한테 이런 노래가 나오다니…인간이 얼마나 대단한지 느낄수 있었다..</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @hwnngbo
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input=""""><span class=""style-scope yt-formatted-string"" dir=""auto"">이 노래 처음 나왔을 때가 저 고1때였나, 친구네 집 아파트 옥상에서 들었는데, 고요한 밤에 이 노래 틀어놓고 있으니까 세상의 가장 높은 곳에 올라서 있는 느낌이라서 엄청 웅장했었어요 친구들도 다 소름돋는다면서. 이거 나중에 꼭 다시 한 번 더 높은곳에서 들어야겠다 생각했었어요.</span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">몇 년뒤에 배낭여행으로 네팔 안나푸르나 트레킹 하면서 고산병으로 숨도 힘들게 쉬고 두통도 달며 올라갔어요. 그리고 도착한 ABC(베이스캠프)에서 새벽에 일어나 산 봉우리들을 마주보고 섰을 때 이 노래를 딱 틀었죠. 일출이 오면서 구름은 걷히고, 이어폰으로 내 귀에 노래가 흘러나오고, 천천히 주변을 둘러보는데,, 진짜 오감이 살아숨쉬는 느낌 받았었어요. 지금 이 순간은 내가 이 세상의 정복자다 이런 느낌 딱,,,</span></yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-lf7hh8yr8h
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input=""""><span class=""style-scope yt-formatted-string"" dir=""auto"">I used to rule the world </span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">Seas would rise when I gave the word </span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">Now in the morning, I sleep alone </span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">Sweep the streets I used to own </span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">I used to roll the dice </span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">Feel the fear in my enemy's eyes </span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">Listen as the crowd would sing </span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">Now the old king is dead! Long live the king! </span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">One minute I held the key </span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">Next the walls were closed on me </span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">And I discovered that my castles stand </span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">Upon pillars of salt and pillars of sand </span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">I hear Jerusalem bells are ringing </span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">Roman Cavalry choirs are singing </span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">Be my mirror, my sword and shield </span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">My missionaries in a foreign field </span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">For some reason I can't explain </span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">Once you go there was never, never a honest word </span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">And that was when I ruled the world </span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">It was a wicked and wild wind </span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">Blew down the doors to let me in </span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">Shattered windows and the sound of drums </span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">People couldn't believe what I'd become </span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">Revolutionaries wait </span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">For my head on a silver plate </span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">Just a puppet on a lonely string </span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">Oh, who would ever want to be king? </span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">I hear Jerusalem bells are ringing </span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">Roman Calvary choirs are singing </span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">Be my mirror, my sword and shield </span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">My missionaries in a foreign field </span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">For some reason I can't explain </span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">I know Saint Peter won't call my name </span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">Never an honest word </span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">But that was when I ruled the world </span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">Oh, oh, oh, oh, oh </span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">I hear Jerusalem bells are ringing </span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">Roman Calvary choirs are singing </span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">Be my mirror, my sword and shield </span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">My missionaries in a foreign field </span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">For some reason I can't explain </span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">I know Saint Peter won't call my name </span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">Never an honest word </span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">But that was when I ruled the world</span></yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @eunseo08joe20
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">콜드플레이의 콘서트 영상을 보니 가슴이 뛰네요. 다시 내한해줬으면 좋겠습니다. 이 노래는 다시 들어도 명곡인것같아요</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @romijml1580
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input=""""><span class=""style-scope yt-formatted-string"" dir=""auto"">최고의 밴드</span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">마약도 안하며 가치관이 건전한</span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">이 밴드를 사랑합니다 </span><img alt=""💜"" class=""small-emoji emoji style-scope yt-formatted-string"" src=""https://www.youtube.com/s/gaming/emoji/7ff574f2/emoji_u1f49c.png""/></yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @SLn_1215
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">하…이 웅장한 비트 사운드와 크고 우람하고 아름다운 스타디움…거기에 관중들의 환호성까지…이래서 내가 이걸 못끊지..</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @redmanandpigs
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">명곡은 지금도 멈추지 않는다</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-he1bp4fb5m
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">노래 너무 좋아요</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @shk961
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">어쩌다 최근에 처음 듣게 됬는데 진짜 온몸에 전율이 ㄷㄷ</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-vq9dw6sx8r
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input=""""><span class=""style-scope yt-formatted-string"" dir=""auto"">한국에서 공연할때 진짜 모든 사람들이 따라부르고</span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">심지어 퇴장할때도 다같이 노래 붙르면서 나간게 기억남…ㄷㄷ</span></yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @jiyoungsuh4567
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">다른데서 본 가사해석보다 훨씬 뜻이 잘 통하고 와닿네요 역시.</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @jindao600
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input=""""><span class=""style-scope yt-formatted-string"" dir=""auto"">가사 미쳤다.</span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">이로써 콜플은 진정한 왕이 되었다.</span></yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @oj2358
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">사라진 인류애를 찾고자 할 때 마다 보러 옵니다. 삶에 찌들려서 피폐해지면 가사는 마음을 때리지만 공연 분위기와 경쾌한 멜로디가 해소해주네요...</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-rh8wj3rw9s
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input=""""><span class=""style-scope yt-formatted-string"" dir=""auto"">산티아고 순례길 .. 28일 걷는 중에 이 노래 듣고 싶어서 미치는 줄 알았다.</span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">마지막에 듣고 싶어서..</span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">800km 중 1km 남기고 이 노래 듣는데 </span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">진짜 가슴 터질 것 같았고 계속 울면서 도착했다</span><span class=""style-scope yt-formatted-string"" dir=""auto"">
</span><span class=""style-scope yt-formatted-string"" dir=""auto"">잊지 못해</span></yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-gy2sr8ew9i
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">이런노래는 이세상에는 꼭 존재해야하는 노래!!!</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @lovelysseoji
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">이 노래는 진짜 10년째 들어도 안 질리네. 08학번인데 08년에 나온 노래였구나 뭔가 도전할 때 자신감을 가지게 해주는 그런 느낌이 있어서 종종 찾는 노래</yt-formatted-string>"
"<span class=""style-scope ytd-comment-renderer style-scope ytd-comment-renderer"">
              @user-gx7mf9qm5j
            </span>","<yt-formatted-string class=""style-scope ytd-comment-renderer"" id=""content-text"" slot=""content"" split-lines="""" user-input="""">2017년 4/16일 내한했을 때 스탠딩 9번으로 맨 앞에서 펜스 잡고 직관했었는데… 군대 가기 전 큰맘 먹고 갔는데 내 생애 첫 콘서트이자 내 인생 최고의 추억 중 하나가 되어버렸네… 앞에선 크리스 마틴이 뒤에선 5만여 명의 관중들 목소리가 한번에 울려 퍼지는데 나도 모르게 따라 부르면서 폭풍오열했던 기억이 나네ㅎㅎ 그때 서로 초면인데도 즉석에서 친해진 형, 누나, 동생들… 그리고 콘서트의 시작과 함께 들어오던 자이로밴드의 불빛, 밤하늘을 밝히던 폭죽, 바람과 함께 흩날리던 종이 꽃가루 모든게 완벽했던 하루였다.</yt-formatted-string>"
